Categories,pos_input,pos_output,pos_explanation,neg_input,neg_output,neg_explanation
Question Rewriting,What can one do after MBBS?,What do i do after my MBBS ?,In this example both the question ask the same thing about what to do after MBBS hence second question is the correct output ,Do you need a passport to go to Jamaica from the United States?,How can I move to Jamaica?,"In this example even though both questions have the same overall theme of moving to Jamaica the first question is only asking if Passport will be required for travelling to Jamaica from United States where the second quesition is just asking how do we move to Jamaica in general.Hence, second question is not a valid output."
Question Answering,"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative.
(A)True, True (B)False, False (C)True, False (D)False, True",D,Statement 1 is false while Statement 2 is true,"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative.
(A)True, True (B)False, False (C)True, False (D)False, True",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D'."
Text to Code,jump left,I_TURN_LEFT I_JUMP,The agent must first turn left and then jump in order to jump to the left.,jump right,I_JUMP I_TURN_RIGHT,"The agent cannot jump and then turn to the right in order to jump to the right. To jump and then turn to the right, the command will tell the agent to 'jump and turn right'. The correct output is 'I_TURN_RIGHT I_JUMP'."
Textual Entailment,"Statement: Next to the MGM Grand you will find M and M World, four stories of merchandise and memorabilia dedicated to the candy that doesn't melt in your hand. Choices: 1. The candy has many fans who love its attractions. 2. There's four stories of memorabilia dedicated to a candy. 3. That particular candy melts and becomes difficult to eat.",2,"The candy may or may not be popular, and does not melt and become difficult to eat. Hence the second choice is the only one that fully agrees with the statement.","Statement: In 1994, fraction of households owning a personal computer is 0.25. Choices: 1. In 1994, 0.25 of households owned a PC, which was a high sum at the time. 2. In 1984, 0.8 of households owned a PC. In 1994, 0.25 of households owned a PC.",1,"It is not known whether 0.25 is considered a high fraction of the households, so the first choice is incorrect."
Coreference Resolution,text: this book introduced shakespeare to ovid; it was a fine selection of his writing.; pronoun: his,shakespeare,"The pronoun 'his' refers to shakespeare, who was introduced to ovid.",text: dan had to stop bill from toying with the injured bird. he is very compassionate.; pronoun: he,Bill,"Bill was toying with the injured bird, so Dan is the one who is compassionate. The correct answer is Dan."
Cause Effect Classification,The woman went to the bank because pigs can fly.,not plausible,"Clearly, there can't be a causation relationship between someone going to the bank and pigs flying.",The woman went to see a lawyer because she was getting a divorce.,not plausible,"Willing to get a divorce can be a valid cause to see a lawyer, so the correct answer is plausible."
Question Answering,"Fact: pesticides can harm animals. 
Question: What can harm animals?",pesticides.,The answer is present in the span of the fact.,"Fact: pesticides can harm animals. 
Question: What can harm animals?",Plastic.,"Even though the answer ""plastic"" is factually correct as plastic can harm animals, since it is not present in the given fact is is not a good answer. Note that, the correct answer words must lie within the associated fact."
Gender Classification,"Sentence: The farmer needed the accountant for crop tabulation and asked him for help.
 Profession: accountant",Identifiable,"The accountant's gender is identifiable(male) because the pronoun ""him"" is linked to the accountant.","Sentence: The driver asked the nurse for an examination because she was feeling ill.
 Profession: driver",Female,"You are expected to answer with ""identifiable"" or ""unidentifiable"" and no specific genders. The driver's gender is identifiable."
Question Answering,"This question refers to the following information.
In order to make the title of this discourse generally intelligible, I have translated the term ""Protoplasm,"" which is the scientific name of the substance of which I am about to speak, by the words ""the physical basis of life."" I suppose that, to many, the idea that there is such a thing as a physical basis, or matter, of life may be novel—so widely spread is the conception of life as something which works through matter. … Thus the matter of life, so far as we know it (and we have no right to speculate on any other), breaks up, in consequence of that continual death which is the condition of its manifesting vitality, into carbonic acid, water, and nitrogenous compounds, which certainly possess no properties but those of ordinary matter.
Thomas Henry Huxley, ""The Physical Basis of Life,"" 1868
From the passage, one may infer that Huxley argued that ""life"" was
(A)a force that works through matter (B)essentially a philosophical notion (C)merely a property of a certain kind of matter (D)a supernatural phenomenon",C,Huxley argued that it was merely a property of a certain kind of matter,"This question refers to the following information.
In order to make the title of this discourse generally intelligible, I have translated the term ""Protoplasm,"" which is the scientific name of the substance of which I am about to speak, by the words ""the physical basis of life."" I suppose that, to many, the idea that there is such a thing as a physical basis, or matter, of life may be novel—so widely spread is the conception of life as something which works through matter. … Thus the matter of life, so far as we know it (and we have no right to speculate on any other), breaks up, in consequence of that continual death which is the condition of its manifesting vitality, into carbonic acid, water, and nitrogenous compounds, which certainly possess no properties but those of ordinary matter.
Thomas Henry Huxley, ""The Physical Basis of Life,"" 1868
From the passage, one may infer that Huxley argued that ""life"" was
(A)a force that works through matter (B)essentially a philosophical notion (C)merely a property of a certain kind of matter (D)a supernatural phenomenon",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D'."
Question Generation,"umbrella, sunscreen, sun hat, sunglasses, cover up, shade","at the beach, name something that might protect you from sun.","umbrella, sunscreen, sun hat, sunglasses, cover up and shade can provide protection for the people at the beach","umbrella, sunscreen, sun hat, sunglasses, cover up, shade",aside from animals name something people hunt for,There is nothing related to the hunting.
Question Answering,"Marginal revenue equals marginal cost at the point where
(A)total revenue is greater than total cost at its greatest distance (B)total revenue is equal to total cost (C)marginal product is at its highest point (D)total product is at its highest point",A,Marginal revenue equals marginal cost at the point where total revenue is greater than total cost at its greatest distance,"Marginal revenue equals marginal cost at the point where
(A)total revenue is greater than total cost at its greatest distance (B)total revenue is equal to total cost (C)marginal product is at its highest point (D)total product is at its highest point",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D'."
Title Generation,Sentence 1: Marcus needed clothing for a business casual event. Sentence 2: All of his clothes were either too formal or too casual. Sentence 3: He decided to buy a pair of khakis. Sentence 4: The pair he bought fit him perfectly. Sentence 5: Marcus was happy to have the right clothes for the event. Choices: a. Marcus Buys Khakis. b. Marcus Works.,a,"Marcus's reasons for buying khakis is established, followed by his purchase of them and reaction.","Sentence 1: My grandparents and I were going for a walk. Sentence 2: Suddenly, right in front of us, was a huge moose. Sentence 3: We were walking near some pine trees and turned a corner. Sentence 4: It was so close that it scared us, but they told me not to run. Sentence 5: We all stood still and soon the moose walked away without harm. Choices: a. Move. b. Up Close.",a,"The people saw a moose, stopped walking, and allowed it to pass. The title is therefore incorrect."
Question Decomposition,question: What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,"#1 return secretaries 
#2 return #1 born in state 'Alabama 
#3 return departments managed by #2 
#4 return distinct creation years of  #3",Referring to previous steps is vital in constructing multi-step decompositions. In this example each step refers to the step before to perform a single filter on it to reach the final result.,"question: show the name of all bridges that was designed by american archtect, and sort the result by the bridge feet length.
","#1 return american archtects 
#2 return bridges 
#3 return sorted by feet length",In this example the worker has provided the steps nessecary to answer the question but did not refer to any of the previous steps.
Title Generation,"The Beatles ' rooftop concert was the final public performance of the English rock band the Beatles . On 30 January 1969 , the band , with keyboardist Billy Preston , surprised a central London office and fashion district with an impromptu concert from the roof of the headquarters of the band 's multimedia corporation Apple Corps at 3 Savile Row . In a 42 - minute set , the Beatles were heard playing nine takes of five songs before the Metropolitan Police Service asked them to reduce the volume . Footage from the performance was later used in the 1970 documentary film Let It Be .
",The Beatles' rooftop concert,'The answer given is correct because it is an appropriate title as it is the main subject of the passage.,"It 's Always Sunny in Philadelphia is an American television sitcom that premiered on FX on August 4 , 2005 . It moved to FXX beginning with the ninth season and has remained there since . It was created by Rob McElhenney who developed it with Glenn Howerton . It is executive produced and primarily written by McElhenney , Howerton , and Charlie Day , all of whom star alongside Kaitlin Olson and Danny DeVito . The series follows the exploits of `` The Gang '' , a group of debauched , self - centered friends who run the Irish bar Paddy 's Pub in South Philadelphia .
    ",American television,"'This answer is incorrect, even though it lies in the passage because that is not the main topic that is being described in the passage. The correct answer is ""It 's Always Sunny in Philadelphia"" because many sentences in the passage refer to it and describe what it is."
Cause Effect Classification,"The women met for coffee.
They wanted to catch up with each other.",cause,The women met for coffee because they wanted to catch up with each other.,"My body cast a shadow over the grass.
The sun was rising.",effect,The rising of the sun isn't an effect of casting a shadow over the grass.
Textual Entailment,Sentence 1: Jon saw his friend Tom coming out of the grocery store with a bag of fruit. Sentence 2: Tom had been shopping for fruit to give Jon.,N,Tom's reason for buying the fruit is not known.,Sentence 1: There was an earthquake in San Fransisco. Sentence 2: The earthquake caused a lot of road damage.,E,"The earthquake might not have been severe enough to cause raod damage, so the answer should be N."
Coherence Classification,Beginning: Butch had a really old computer. Middle 1: Butch decided to order a new computer online. Middle 2: Butch noticed that a storm was approaching to his town. Ending: It arrived and Butch was much happier.,2,"People generally don't feel happy about natural disasters like storms. Therefore, we choose 2 in this case.",Beginning: Mary's mom came home with more bananas than they could possibly eat. Middle 1: Mary and her mom decided to make chocolate covered frozen bananas to avoid waste. Middle 2: So Mary made pineapple splits for everyone. Ending: That was the best way ever to eat a banana!,1,"The story talks about bananas, so discussion of pineapples makes the story incoherent. Therefore, we should not choose 1 in this case."
Named Entity Recognition,"Sox - 4 is important for very early B - cell differentiation , while TCF - 1 / LEF - 1 play a crucial role in early thymocyte development ",TCF - 1,"The gene, TCF - 1 has been tagged as protein since it plays a crucial role in early thymocyte development.","Sox - 4 is important for very early B - cell differentiation , while TCF - 1 / LEF - 1 play a crucial role in early thymocyte development",thymocyte,"Thymocytes are the immune cells present in the thymus, before it undergoes transformation into a T cell. Therefore, it should not be tagged as gene."
Speaker Identification,"Speaker 1: What do you think we should do for our 10th wedding anniversary? 
Speaker 2: Hm, how about we take a vacation? Somewhere sandy and warm. 
Speaker 1: Well, if we're going to go out of the country, you need to be sure to renew your passport. It expired over a year ago! 
Speaker 2: How about we get something expensive instead of travelling.  We could get a new car. 
Speaker 1:  Is this your way of telling me that you want me to buy you a car?",1,"In this dialog, there are 5 lines of speech.  Three of them belong to Speaker 1 and two of them belong to Speaker 2.  Therefore, Speaker 1 has the most lines in the dialog.","Speaker 1: Donna, do you want to go to the mall with me this weekend? 
Speaker 2: Sure, I'd love to.  I need to pick up some clothes and some school supplies. 
Speaker 1:  Great, I need to return some stuff I bought last weekend.  We could get lunch at the food court and then make plans for the evening there. 
Speaker 2: Sounds great!",Speaker 1,"While Speaker 1 does have the maximum number of lines in this dialog, so does Speaker 2, so the appropriate answer is '0'."
Text to Code,round_eq { sum { all_rows ; casinos } ; 217 },aggregation,"In this example sum returns the sum of the values in all of the casinos rows. Hence, aggregation is right category.",most_greater_eq { all_rows ; us viewers ( million ) ; 1.0 },count,"The most_greater_eq command indicates that we need to select some majority rows, but label is 'count' which is not right."
Text Categorization,I work 40 hours a week for me to be this poor.,sarcastic,"Here, the person means to say that even after working 40 hours a week, he is still poor. Thus it actually contradicts to what he says.","I’m not saying I hate you, what I’m saying is that you are literally the Monday of my life",Cool,"You are expected to return ""sarcastic"" or ""non-sarcastic"". This should be classified as sarcastic as Monday, being the first working day of the week, is pretty stressful and often hated by many. But the speaker is saying that he doesn't hate, so he uses sarcasm."
Text Quality Evaluation,"What is the product of transcripition durring gene expression ?
The four main parts of the brain ?
What degrees do you need to become a judge ?
How dieting affects your peformance in sport ?",What degrees do you need to become a judge ?,The output is from the list of given queries and it is formed with no grammatical or spelling errors when compared to other queries,"What is the product of transcripition durring gene expression ?
The four main parts of the brain ?
What degrees do you need to become a judge ?
How dieting affects your peformance in sport ?",What are the degrees one needs to become a judge and where to find it?,Even though the output has some information of a well formed query it has additional information which is not present in the input
Named Entity Recognition,HeLa cells were first treated with 250 mug / ml Trail followed by pulse labeling of newly synthesized proteins with [ 35S ] methionine.,HeLa cells,HeLa cells are the first immortal human cell line. It should be tagged.,"On pathologic examination of the specimen , typical large tumor cells with lymphocytic cell infiltration and prominent granulomatous reaction were observed .",tumor cells with lymphocytic cell,Detailed description of the tumor cells are irrelvant and should not be included.
Pos Tagging,"Sentence: An editorial in the church - owned Deseret Morning News in Salt Lake City earlier this year acknowledged that "" the state 's history , a {{ conservative }} belief in free choice , and an unwillingness to stir up a hornet 's nest in the national media have likely all contributed to the kid - glove approach lawmakers and law - enforcement officers have taken when dealing with polygamous communities . "" 
Word: conservative",ADJ,"""conservative"" is an Adjective (ADJ) since it adds to the description of the Noun (NOUN) ""belief"".","Sentence: If you feel this guy is {{ worth }} it then I hope your vet can figure things out . 
Word: worth",PUNCT,"""worth"" is not a Punctation (PUNCT) since it is not a non-alphabetic character used for delimiting units."
Sentiment Analysis,What is the sentiment of the following sentence towards the entity Bill Clinton ? Bill Clinton knows how to win friends and influence people.,Positive,Here the author of the document praises Bill for this ability to win friends.,What is the sentiment of the following document towards the entity Bill Clinton ? Journalist Jen Moore died under suspicious circumstances after contacting both the DHS and the FBI with allegations that former President Bill Clinton committed sexual assault,Negative,This is an example of a negative fact towards Bill Clinton which is not supported by the author so the sentence will be neutral
Question Generation,"CONTEXT: The balance of power had shifted considerably since the first set of quotes. King Joffrey is dead, and his younger brother Tommen is now king. Unlike his wild card of an elder brother, Tommen is gentler and more prone to manipulation by his new bride. The Lannisters impeccable image has also been shattered. They failed to prevent the assassination of their king in the midst of his own wedding day, and the suspected assassin is the king's Lannister uncle. Not only do they look incompetent, they are divided among themselves. On the other hand, the Tyrells' situation is much stronger now. Tommen is already wrapped around Margaery's pretty little finger, and she knows that the assassination was orchestrated in part by her own family. In Margaery's eyes, the Lannisters look disoriented and lost. Putting on a show trial for one of their own, whom she knows is innocent of any wrongdoing. Whatever power Cersei held over Margaery has now been diminished. <sep>  Q: What was Margaery's motivation to call Cersei 'sister' again? A: Whatever power Cersei held over Margaery has now been diminished.",Why has it been diminished?,The question is valid since it is on the same topic and a follow-up of the previous answer in the conversation. The question asks about the reason why the power held over Margaery by Cersei have diminished.,"CONTEXT: The balance of power had shifted considerably since the first set of quotes. King Joffrey is dead, and his younger brother Tommen is now king. Unlike his wild card of an elder brother, Tommen is gentler and more prone to manipulation by his new bride. The Lannisters impeccable image has also been shattered. They failed to prevent the assassination of their king in the midst of his own wedding day, and the suspected assassin is the king's Lannister uncle. Not only do they look incompetent, they are divided among themselves. On the other hand, the Tyrells' situation is much stronger now. Tommen is already wrapped around Margaery's pretty little finger, and she knows that the assassination was orchestrated in part by her own family. In Margaery's eyes, the Lannisters look disoriented and lost. Putting on a show trial for one of their own, whom she knows is innocent of any wrongdoing. Whatever power Cersei held over Margaery has now been diminished. <sep>  Q: What was Margaery's motivation to call Cersei 'sister' again? A: Whatever power Cersei held over Margaery has now been diminished.",Who was Jamie Lanister?,"Although the question asked is related to the movie, the question is not relevant to the passage."
Explanation,"Sentence: The city councilmen refused the demonstrators a permit because they feared violence. 
 Question: Why does the 'they' refer to the city councilmen? ",Because city councilmen are administrative so they are more likely to fear.,This is a correct reason since the pronoun in the sentence is descibed as ones who fear violence and the city councilmen are attached with this property.,"Sentence: The city councilmen refused the demonstrators a permit because they feared violence. 
 Question: Why does the 'they' refer to the city councilmen?",Because of the city's history of racial discrimination.,This is a wrong reason since the reason is descibing issue that does not relates to who will fear the violence.
Word Semantics,"excavator, crane, pelican, hoist, upraise",pelican,The common category here are words related to construction. A pelican is not related to construction because it is a type of bird.,"jab, punch, corner, joker, deck",punch,"The common category here is 'boxing terminology'. The word 'punch' is a boxing term that means to strike with a fist. The correct answer is 'joker', which is a different word for a comedian."
Question Generation,"Passage: I submitted the hit. The hit was approved, and then I was paid.",What happened after I submitted the hit?,"This is a valid temporal question based on the given paragraph. Events approved and paid have a temporal relation ""after"" with the event submitted.",Passage: He will be happy after he attends the party.,Is he happy now?,"This question is about his attribute of happiness and not about temporal relation, therefore this is a wrong question. Also, this is a yes/no question."
Sentence Composition,Sentence 1: Jon saw his friend Tom coming out of the grocery store with a bag of fruit. Sentence 2: Tom had been shopping for fruit to give Jon.,Tom had gone into the store before he was seen by Jon.,Tom must have gone into the store to come out of it.,Sentence 1: There was an earthquake in San Fransisco. Sentence 2: The earthquake caused a lot of road damage.,Traffic was able to function normally after the earthquake.,"If there is road damage, traffic could be rerouted and not function normally."
